Beverage,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
Cool Lime,45,0,11,0,0,10
Pink Drink,-,-,-,-,-,-
Pink Drink,-,-,-,-,-,-
Strawberry Acai,80,0,18,1,0,10
Very Berry Hibiscus,60,0,14,1,0,10
Violet Drink,-,-,-,-,-,-
Apple Berry Juice,-,-,-,-,-,-
Ginger Limeade,110,0,28,0,0,5
Iced Coffee,0,0,0,0,0,0
Vanilla Latte,130,2.5,21,0,5,65
Caffe Mocha,140,2.5,23,0,5,90
Caramel Macchiato,130,2.5,21,0,5,65
Caramel Iced Coffee,-,-,-,-,-,-
Iced Coffee,-,-,-,-,-,-
Vanilla Iced Coffee,-,-,-,-,-,-
Shaken Sweet Tea,80,0,19,0,0,10
Berry Blossom White,60,0,15,0,0,10
Mango,150,0,38,0,0,15
Black with Lemon,140,0,35,0,0,10
Brambleberry,140,0,35,0,0,15
Giant Peach,150,0,37,0,0,15
Iced Passion Fruit,70,0,17,0,0,10
Lemon Ginger,120,0,31,0,0,10
Organic Black Lemonade,140,0,35,0,0,10
Organic Iced Black Tea,60,0,15,0,0,10
Organic Iced Green Tea,120,0,31,0,0,10
Plum Pomegranate,140,0,35,0,0,10
Tazoberry,150,0,38,0,0,15
White Cranberry,140,0,35,0,0,10
Iced Black Tea,30,0,8,0,0,5
Iced Black Tea Lemonade,70,0,17,0,0,0
Iced Green Tea,30,0,8,0,0,5
Iced Green Tea Lemonade,70,0,17,0,0,5
Iced Passion Tango Tea,30,0,8,0,0,5
Iced Passion Tango Tea Lemonade,90,0,24,0,0,0
Iced Peach Green Tea,60,0,15,0,0,0
Vanilla Latte,130,2.5,21,0,5,65
Caffe Mocha,140,2.5,23,0,5,90
Caramel Macchiato,130,2.5,21,0,5,65
Skinny Caramel Macchiato,-,-,-,-,-,-
Skinny Vanilla Latte,-,-,-,-,-,-
Espresso Cubano,-,-,-,-,-,-
Espresso Drink,-,-,-,-,-,-
Espresso Salted Caramel Cream,-,-,-,-,-,-
Light Espresso Drink,-,-,-,-,-,-
Caramel,-,-,-,-,-,-
Raspberry Pomegranate,90,0,27,0,0,0
Strawberry Lemonade,90,0,27,0,0,0
Caramel Coffee Drink,-,-,-,-,-,-
Coffee Drink,-,-,-,-,-,-
Dulce de Leche Coffee Drink,-,-,-,-,-,-
Mocha Coffee Drink,-,-,-,-,-,-
Mocha Light Coffee Drink,-,-,-,-,-,-
S'mores Coffee Drink,-,-,-,-,-,-
Vanilla  Coffee Drink,-,-,-,-,-,-
Vanilla Light  Coffee Drink,-,-,-,-,-,-
Caramel Iced Coffee,-,-,-,-,-,-
Dark Chocolate,210,2.5,33,2,20,115
Iced Coffee,-,-,-,-,-,-
Iced Coffee Caramel,60,0,13,0,1,0
Black Cherry Limeade with Coconut Water,-,-,-,-,-,-
Vanilla Iced Coffee,-,-,-,-,-,-
Berry Blossom White,60,0,15,0,0,10
Black Mango,150,0,38,0,0,15
Black with Lemon,140,0,35,0,0,10
Brambleberry,140,0,35,0,0,15
Giant Peach,150,0,37,0,0,15
Iced Passion Fruit,70,0,17,0,0,10
Lemon Ginger,120,0,31,0,0,10
Organic Black Lemonade,140,0,35,0,0,10
Organic Iced Black Tea,60,0,15,0,0,10
Organic Iced Green Tea,120,0,31,0,0,10
Plum Pomegranate,140,0,35,0,0,10
Tazoberry,150,0,38,0,0,15
White Cranberry,140,0,35,0,0,10
Mango Black Tea,-,-,-,-,-,-
Herbal Tea,-,-,-,-,-,-
Peach Green Tea,-,-,-,-,-,-
White Chocolate Mocha Frappuccino,-,-,-,-,-,-
Blonde Roast,5,0,0,0,1,10
Misto,-,-,-,-,-,-
Brewed Coffee,10,0,0,0,1,10
Coffee Traveler,-,-,-,-,-,-
Decaf Pike Roast,5,0,0,0,1,10
Dark Roast,5,0,0,0,1,10
Iced Coffee,5,0,0,0,0,5
Iced Coffee with Milk,-,-,-,-,-,-
Pike Roast,5,0,0,0,1,10
Toasted Coconut,-,-,-,-,-,-
Vanilla Sweet Cream,110,6,14,0,1,25
Hot Chocolate,320,9,47,4,14,160
Signature Hot Chocolate,430,26,45,5,12,115
Americano,-,-,-,-,-,-
Latte,190,7,19,0,13,170
Mocha,290,8,42,4,13,140
Cappuccino,120,4,12,0,8,100
Caramel Macchiato,250,7,35,0,10,150
Cascara Coconutmilk Latte,-,-,-,-,-,-
Cinnamon Dolce Latte,260,6,40,0,11,150
Coconutmilk Mocha Macchiato,250,9,32,0,12,180
Espresso,-,-,-,-,-,-
Espresso Con Panna,-,-,-,-,-,-
Espresso Macchiato,-,-,-,-,-,-
Flat White,180,7,18,0,12,160
Iced Americano,-,-,-,-,-,-
Iced Latte,130,4.5,13,0,8,115
Iced Mocha,230,6,36,4,9,90
Iced Caramel Macchiato,250,7,37,0,10,150
Iced Cascara Coconutmilk Latte,-,-,-,-,-,-
Iced Cinnamon Dolce Latte,200,4,34,0,7,95
Iced Coconutmilk Mocha Macchiato,260,9,34,0,11,180
Iced Skinny Cinnamon Dolce Latte,-,-,-,-,-,-
Iced Skinny Mocha,-,-,-,-,-,-
Iced Vanilla Latte,190,4,30,0,7,100
Iced White Chocolate Mocha,300,8,47,0,10,190
Latte Macchiato,190,7,19,0,12,160
Latte Macchiato,190,7,19,0,12,160
Skinny Mocha,-,-,-,-,-,-
Vanilla Latte,250,6,37,0,12,150
White Chocolate Mocha,360,11,53,0,14,240
Vanilla Blended Coffee,-,-,-,-,-,-
Vanilla Light Blended Coffee,-,-,-,-,-,-
Caramel Cocoa Cluster Blended Coffee,-,-,-,-,-,-
Caramel Blended Coffee,-,-,-,-,-,-
Caramel Light Blended Coffee,-,-,-,-,-,-
Chai Blended,-,-,-,-,-,-
Cinnamon Dolce Blended Coffee,350,4.5,64,0,15,0
Cinnamon Dolce Light Blended Coffee,-,-,-,-,-,-
Cinnamon Roll Blended Coffee,-,-,-,-,-,-
Blended Coffee,-,-,-,-,-,-
Coffee Light Blended Coffee,110,0,24,0,3,200
Cupcake Blended,-,-,-,-,-,-
Green Tea Blended,-,-,-,-,-,-
Java Chip Blended Coffee,-,-,-,-,-,-
Java Chip Light Blended Coffee,-,-,-,-,-,-
Lemon Bar Blended,-,-,-,-,-,-
Midnight Mint Mocha Blended Coffee,-,-,-,-,-,-
Midnight Mint Mocha Blended,-,-,-,-,-,-
Mocha Blended Coffee,280,2.5,60,2,4,220
Mocha Light Blended Coffee,140,0.5,28,1,4,180
Oprah Cinnamon Chai Blended,-,-,-,-,-,-
Red Velvet Cake Blended,-,-,-,-,-,-
S'mores Blended Coffee,-,-,-,-,-,-
